  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  |               |                |                  |           |     |               4 - K_CE_FLG_CATIVO                                                                       |
  | acor_rgalrotm | unsigned char  | SAR_ClasAcor     |           | sim | Regiao corrente de alarme para valor otimizado                                                          |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | acor_valotm   | float          | SAR_ClasAcor     |           | sim | Valor otimizado para a medida                                                                           |
  | aoi           | unsigned char  | SSC_ClasAoi      |           |     | Estado na Area de Informacao                                                                            |
  |               |                |                  |           |     |               0 - K_AOI_NULA                                                                            |
  |               |                |                  |           |     |               1 - K_AOI_IMPORT                                                                          |
  |               |                |                  |           |     |               2 - K_AOI_EXPORT                                                                          |
  | b_e2m         | unsigned int   | SSC_ClasAlr      | sim       |     | Apontador para macro alarmes do ponto                                                                   |
  | bndmo         | float          | SCD_ClasSac      | sim       |     | Banda morta                                                                                             |
  | cdinic        | short          | STI_ClasCadastro | sim       |     | Indicador da condicao inicial do ponto analogico (NPED, SUB_MED, SUB_AUTO)                              |
  | cmtmon        | string[42]     | SCG_ClasScg      |           |     | Comentario de monitoracao                                                                               |
  | compdev       | float          | STI_ClasHist     | sim       |     | Banda morta em UE para efeito de compressao no PI                                                       |
  | cont_anorm    | int            | SCD_ClasSac      |           |     | Segundos de permanencia fora do estado normal                                                           |
  | cont_curta    | int            | SCD_ClasSac      |           |     | Segundos de permanencia extrapolando LxE                                                                |
  | cont_longa    | int            | SCD_ClasSac      |           |     | Segundos de permanencia extrapolando LxU                                                                |
  | cont_perm     | int            | SCD_ClasSac      |           |     | Segundos de permanencia extrapolando LxA                                                                |
  | desvp         | float          | SAR_ClasEstmon   |           |     | Desvio padrao da medida (pu)                                                                            |
  |               |                |                  |           |     |             0.1 - K_DESV_TAP_MAX                                                                        |
  |               |                |                  |           |     |             0.1 - K_DESV_TAP_SEM_REMOTA_DEF                                                             |
  |               |                |                  |           |     |             0.5 - K_DESV_FLUXO_MAX                                                                      |
  |               |                |                  |           |     |             0.5 - K_DESV_SEM_REMOTA_DEF                                                                 |
  |               |                |                  |           |     |            0.01 - K_DESV_FLUXO_MIN                                                                      |
  |               |                |                  |           |     |            0.01 - K_DESV_TENSAO_MAX                                                                     |
  |               |                |                  |           |     |            0.01 - K_DESV_TENSAO_SEM_REMOTA_DEF                                                          |
  |               |                |                  |           |     |            0.06 - K_DESV_TAP_DEF                                                                        |
  |               |                |                  |           |     |            0.08 - K_DESV_FLUXO_DEF                                                                      |
  |               |                |                  |           |     |           0.001 - K_DESV_TENSAO_MIN                                                                     |
  |               |                |                  |           |     |           0.003 - K_DESV_TENSAO_DEF                                                                     |
  |               |                |                  |           |     |           0.005 - K_DESV_TAP_MIN                                                                        |
  | excdev        | float          | STI_ClasHist     | sim       |     | Banda morta em UE para efeito de excecao no PI                                                          |
  | grmsk         | unsigned int   | SSC_ClasTnd      |           |     | Grupos associados a medida tendenciavel                                                                 |
  | hatlz         | int            | SCD_ClasSac      |           |     | Data-Hora da ultima atualizacao                                                                         |
  | histform      | char           | STI_ClasHist     | sim       |     | Descricao do calculo dinamico em OBSRV selecionado para historico                                       |
  |               |                |                  |           |     |               0 - K_HISTSLC_INCLUI                                                                      |
  |               |                |                  |           |     |              -1 - K_HISTSLC_EXCLUI                                                                      |
  | histlin       | char           | STI_ClasHist     | sim       |     | Limites do ponto selecionados para base historica                                                       |
  |               |                |                  |           |     |               0 - K_HISTSLC_INCLUI                                                                      |
  |               |                |                  |           |     |              -1 - K_HISTSLC_EXCLUI                                                                      |
  | histper       | short          | STI_ClasHist     | sim       |     | Periodo de exportacao para base historica                                                               |
  | histslc       | char           | STI_ClasHist     | sim       |     | Ponto selecionado para base historica                                                                   |
  |               |                |                  |           |     |               0 - K_HISTSLC_INCLUI                                                                      |
  |               |                |                  |           |     |              -1 - K_HISTSLC_EXCLUI                                                                      |
  | histslc_est   | char           | STI_ClasHist     |           |     | Valor estimado selecionado para base historica                                                          |
  |               |                |                  |           |     |               0 - K_HISTSLC_INCLUI                                                                      |
  |               |                |                  |           |     |              -1 - K_HISTSLC_EXCLUI                                                                      |
  | histslc_prvcg | char           | STI_ClasHist     |           |     | Previsao de carga selecionada para base historica                                                       |
  |               |                |                  |           |     |               0 - K_HISTSLC_INCLUI                                                                      |
  |               |                |                  |           |     |              -1 - K_HISTSLC_EXCLUI                                                                      |
  | horam         | unsigned int   | SCD_ClasSac      |           |     | Hora (UNix) da ultima atualizacao manual                                                                |
  | htris         | float          | SCD_ClasSac      |           |     | Valor de histerese                                                                                      |
  | id            | string[32]     | SCD_ClasIds      | sim       |     | Identificador do PAS                                                                                    |
  | ideqp         | string[32]     | STI_ClasIdent    | sim       |     | Equipamento associado                                                                                   |
  | idest         | string[15]     | STI_ClasIdent    | sim       |     | Estacao associada a medida                                                                              |
  | idiccp        | string[32]     | SCD_ClasCod      | sim       |     | Identificador do servidor ICCP                                                                          |
  | idins         | string[12]     | STI_ClasHist     | sim       |     | Identificador da Instalacao a que pertence                                                              |
  | idlia         | string[8]      | STI_ClasHist     | sim       |     | Identificador da Ligacao a que pertence                                                                 |
  | idocr         | string[25]     | STI_ClasHist     | sim       |     | Identificador da ocorrencia                                                                             |
  | idoper        | string[32]     | STI_ClasIdent    | sim       |     | Identificador especifico para o operador                                                                |
  | idpmu         | string[32]     | STI_ClasHist     | sim       |     | Identificador do PMU associado ao PAS                                                                   |
  | idtac         | string[12]     | STI_ClasIdent    | sim       |     | Identificador da TAC a que pertence                                                                     |
  | indee         | char           | SAR_ClasEstmon   |           |     | Indica se o ponto analogico e considerado pelo Estimador de Estado                                      |
  |               |                |                  |           |     |               0 - K_INDEE_EXCLUI                                                                        |
  |               |                |                  |           |     |               1 - K_INDEE_INCLUI                                                                        |
  | indusr        | char           | SAR_ClasEstmon   |           |     | Indicador de que o ponto excluido pelo usuario pode retornar ao processo de estimacao (1=pode retornar) |
  | indvalaq      | char           | SAR_ClasEstmon   |           |     | Condicao do valor aquisitado quando comparado ao valor estimado (0=boa; 1=ruim)                         |
  |               |                |                  |           |     |               0 - K_INDVALAQ_BOM                                                                        |
  |               |                |                  |           |     |               1 - K_INDVALAQ_RUIM                                                                       |
  | invsn         | char           | SAR_ClasEstado   |           |     | Inverte o sinal da medida analogica para o Analise de Redes (Verdade=Inverte)                           |
  | lconf         | float          | SAR_ClasEstmon   |           |     | Limite de confianca da medida estimada                                                                  |
  | lf_clm        | unsigned int   | SCD_ClasSac      | sim       |     | Proximo ponto analogico associado ao conjunto de limites                                                |
  | lf_est        | unsigned int   | STI_ClasCadastro | sim       |     | Apontador p/ proxima medida analogica da estacao                                                        |
  | linfa         | float          | SCD_ClasSac      |           |     | Limite inferior de advertencia                                                                          |
  | linfao        | float          | SCD_ClasSac      |           |     | Limite inferior de advertencia original                                                                 |
  | linfe         | float          | SCD_ClasSac      |           |     | Limite inferior de escala                                                                               |
  | linfeo        | float          | SCD_ClasSac      |           |     | Limite inferior de escala original                                                                      |
  | linfu         | float          | SCD_ClasSac      |           |     | Limite inferior de urgencia                                                                             |
  | linfuo        | float          | SCD_ClasSac      |           |     | Limite inferior de urgencia original                                                                    |
  | lscinf        | string[8]      | STI_ClasCadastro | sim       |     | Identificador da ligacao SCADA no nivel hierarquico inferior de comunicacao                             |
  | lsupa         | float          | SCD_ClasSac      |           |     | Limite superior de advertencia                                                                          |
  | lsupao        | float          | SCD_ClasSac      |           |     | Limite superior de advertencia original                                                                 |
  | lsupe         | float          | SCD_ClasSac      |           |     | Limite superior de escala                                                                               |
  | lsupeo        | float          | SCD_ClasSac      |           |     | Limite superior de escala original                                                                      |
