  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  | tmp_curta     | int            | SCD_ClasSac      | sim       |     | Maximo de segundos para permanencia extrapolando LxE                                                    |
  | tmp_longa     | int            | SCD_ClasSac      | sim       |     | Maximo de segundos para permanencia extrapolando LxU                                                    |
  | tmp_perm      | int            | SCD_ClasSac      | sim       |     | Maximo de segundos para permanencia extrapolando LxA                                                    |
  | tpcal         | unsigned char  | SCD_ClasSac      | sim       |     | Tipo de calculo                                                                                         |
  | tpeqp         | char           | SAR_ClasConfig   |           |     | Tipo do equipamento                                                                                     |
  |               |                |                  |           |     |               3 - K_INDEQP_SBA                                                                          |
  |               |                |                  |           |     |               4 - K_INDEQP_UGE                                                                          |
  |               |                |                  |           |     |               5 - K_INDEQP_CSI                                                                          |
  |               |                |                  |           |     |               6 - K_INDEQP_CRE                                                                          |
  |               |                |                  |           |     |               7 - K_INDEQP_CAR                                                                          |
  |               |                |                  |           |     |               8 - K_INDEQP_BCP                                                                          |
  |               |                |                  |           |     |               9 - K_INDEQP_REA                                                                          |
  |               |                |                  |           |     |              10 - K_INDEQP_CNC                                                                          |
  |               |                |                  |           |     |              11 - K_INDEQP_LTR                                                                          |
  |               |                |                  |           |     |              12 - K_INDEQP_TRF                                                                          |
  |               |                |                  |           |     |              13 - K_INDEQP_RAM                                                                          |
  |               |                |                  |           |     |              14 - K_INDEQP_CSE                                                                          |
  |               |                |                  |           |     |              15 - K_INDEQP_CNV                                                                          |
  |               |                |                  |           |     |              16 - K_INDEQP_LDC                                                                          |
  |               |                |                  |           |     |              17 - K_INDEQP_USI                                                                          |
  |               |                |                  |           |     |              18 - K_INDEQP_CIA                                                                          |
  |               |                |                  |           |     |              19 - K_INDEQP_UDE                                                                          |
  |               |                |                  |           |     |              20 - K_INDEQP_ELE                                                                          |
  |               |                |                  |           |     |              22 - K_INDEQP_TAC                                                                          |
  |               |                |                  |           |     |              25 - K_INDEQP_ACO                                                                          |
  |               |                |                  |           |     |              26 - K_INDEQP_CAG                                                                          |
  |               |                |                  |           |     |              27 - K_INDEQP_ARE                                                                          |
  |               |                |                  |           |     |              28 - K_INDEQP_BAH                                                                          |
  |               |                |                  |           |     |              29 - K_INDEQP_CLI                                                                          |
  |               |                |                  |           |     |              30 - K_INDEQP_COS                                                                          |
  |               |                |                  |           |     |              31 - K_INDEQP_ESTM                                                                         |
  |               |                |                  |           |     |              32 - K_INDEQP_GUSI                                                                         |
  |               |                |                  |           |     |              33 - K_INDEQP_INS                                                                          |
  |               |                |                  |           |     |              34 - K_INDEQP_REG                                                                          |
  |               |                |                  |           |     |              35 - K_INDEQP_REGH                                                                         |
  |               |                |                  |           |     |              36 - K_INDEQP_RES                                                                          |
  |               |                |                  |           |     |              37 - K_INDEQP_RIO                                                                          |
  |               |                |                  |           |     |              38 - K_INDEQP_SIS                                                                          |
  |               |                |                  |           |     |              39 - K_INDEQP_SME                                                                          |
  |               |                |                  |           |     |              40 - K_INDEQP_UFE                                                                          |
  |               |                |                  |           |     |              41 - K_INDEQP_OUTROS                                                                       |
  |               |                |                  |           |     |              43 - K_INDEQP_RESV                                                                         |
  |               |                |                  |           |     |              44 - K_INDEQP_EST                                                                          |
  | tpeqp_cad     | char           | STI_ClasCadastro | sim       |     | Tipo do equipamento                                                                                     |
  |               |                |                  |           |     |               3 - K_INDEQP_SBA                                                                          |
  |               |                |                  |           |     |               4 - K_INDEQP_UGE                                                                          |
  |               |                |                  |           |     |               5 - K_INDEQP_CSI                                                                          |
  |               |                |                  |           |     |               6 - K_INDEQP_CRE                                                                          |
  |               |                |                  |           |     |               7 - K_INDEQP_CAR                                                                          |
  |               |                |                  |           |     |               8 - K_INDEQP_BCP                                                                          |
  |               |                |                  |           |     |               9 - K_INDEQP_REA                                                                          |
  |               |                |                  |           |     |              10 - K_INDEQP_CNC                                                                          |
  |               |                |                  |           |     |              11 - K_INDEQP_LTR                                                                          |
  |               |                |                  |           |     |              12 - K_INDEQP_TRF                                                                          |
  |               |                |                  |           |     |              13 - K_INDEQP_RAM                                                                          |
  |               |                |                  |           |     |              14 - K_INDEQP_CSE                                                                          |
  |               |                |                  |           |     |              15 - K_INDEQP_CNV                                                                          |
  |               |                |                  |           |     |              16 - K_INDEQP_LDC                                                                          |
  |               |                |                  |           |     |              17 - K_INDEQP_USI                                                                          |
  |               |                |                  |           |     |              18 - K_INDEQP_CIA                                                                          |
  |               |                |                  |           |     |              19 - K_INDEQP_UDE                                                                          |
  |               |                |                  |           |     |              20 - K_INDEQP_ELE                                                                          |
  |               |                |                  |           |     |              22 - K_INDEQP_TAC                                                                          |
  |               |                |                  |           |     |              25 - K_INDEQP_ACO                                                                          |
  |               |                |                  |           |     |              26 - K_INDEQP_CAG                                                                          |
  |               |                |                  |           |     |              27 - K_INDEQP_ARE                                                                          |
  |               |                |                  |           |     |              28 - K_INDEQP_BAH                                                                          |
  |               |                |                  |           |     |              29 - K_INDEQP_CLI                                                                          |
  |               |                |                  |           |     |              30 - K_INDEQP_COS                                                                          |
  |               |                |                  |           |     |              31 - K_INDEQP_ESTM                                                                         |
  |               |                |                  |           |     |              32 - K_INDEQP_GUSI                                                                         |
  |               |                |                  |           |     |              33 - K_INDEQP_INS                                                                          |
  |               |                |                  |           |     |              34 - K_INDEQP_REG                                                                          |
  |               |                |                  |           |     |              35 - K_INDEQP_REGH                                                                         |
  |               |                |                  |           |     |              36 - K_INDEQP_RES                                                                          |
  |               |                |                  |           |     |              37 - K_INDEQP_RIO                                                                          |
  |               |                |                  |           |     |              38 - K_INDEQP_SIS                                                                          |
  |               |                |                  |           |     |              39 - K_INDEQP_SME                                                                          |
  |               |                |                  |           |     |              40 - K_INDEQP_UFE                                                                          |
  |               |                |                  |           |     |              41 - K_INDEQP_OUTROS                                                                       |
  |               |                |                  |           |     |              43 - K_INDEQP_RESV                                                                         |
  |               |                |                  |           |     |              44 - K_INDEQP_EST                                                                          |
  | tpfil         | unsigned char  | SCD_ClasSac      | sim       |     | Tipo de filtro                                                                                          |
  |               |                |                  |           |     |               0 - K_TIP_NLFL                                                                            |
  |               |                |                  |           |     |               1 - K_TIP_FIL1                                                                            |
  |               |                |                  |           |     |               2 - K_TIP_FIL2                                                                            |
  |               |                |                  |           |     |               3 - K_TIP_FIL3                                                                            |
  |               |                |                  |           |     |               4 - K_TIP_FIL4                                                                            |
  |               |                |                  |           |     |               5 - K_TIP_FIL5                                                                            |
  |               |                |                  |           |     |               6 - K_TIP_FIL6                                                                            |
  |               |                |                  |           |     |               7 - K_TIP_FIL7                                                                            |
  |               |                |                  |           |     |               8 - K_TIP_FIL8                                                                            |
  |               |                |                  |           |     |               9 - K_TIP_FIL9                                                                            |
  | txvar         | unsigned char  | SCD_ClasSac      |           |     | Percentual para alarme de taxa de variacao                                                              |
  | unidade       | string[10]     | STI_ClasHist     | sim       |     | Tipo de grandeza no formato string                                                                      |
  | valaq         | float          | SCD_ClasSac      |           |     | Valor aquisitado                                                                                        |
  | valctg        | float          | SAR_ClasAnacon   |           | sim | Valor calculado pelo SAR_anacon para a medida                                                           |
  | valest        | float          | SAR_ClasEstado   |           |     | Valor calculado pelo SAR_estmon para a medida                                                           |
  | valor         | float          | SCD_ClasSac      |           |     | Valor considerado                                                                                       |
  | valor_fp      | float          | SAR_ClasFluxop   |           |     | Valor calculador pelo SAR_fluxop para a medida                                                          |
  | valorg        | float          | SAR_ClasOrganon  |           |     | Valor calculado pelo Organon para a medida                                                              |
  | valotm        | float          | SAR_ClasContem   |           |     | Valor otimizado para a medida                                                                           |
  | vlant         | float          | SCD_ClasSac      |           |     | Valor anterior                                                                                          |
  `-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'
